sample_id	Productive	mutatedStatus	totalCloneCount	totalCloneFraction	cloneId	cloneCount	cloneFraction	V_Gene	J_Gene	C_Gene	igblastnTopVAllele	igblastnVAllele	igblastnJAllele	igblastnTopVAlleles	bestVGene	bestDGene	bestJGene	bestCGene	bestVHitScore	bestDHitScore	bestJHitScore	bestCHitScore	igblastnTopBitScore	allBitScores	patient_id	biopsy_id	preservation	locus
00-15201_tumorA	Yes	UNMUTATED	1712	0.7575221238938054	0	1712	0.7575221238938054	IGKV4-1	IGKJ1	IGKC	IGKV4-1*01	IGKV4-1*01,IGHV4-59*09,IGHV4-59*11	IGKJ1*01	IGKV4-1*01	IGKV3D-20	NA	IGKJ1	IGKC	139.4	NA	88.3	194.2	20.5	20.5,19.0,19.0	00-15201	Bx_884	FFPE	IGK
00-23442_tumorA	NA	NA	NA	NA	NA	NA	NA	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	00-23442	Bx_1410	FFPE	IGK
00-26427T	Yes	MUTATED	170602	0.9963149626532268	0	170602	0.9963149626532268	IGKV3-20	IGKJ1	IGKC	IGKV3-20*01	IGKV3-20*01,IGKV3D-20*01,IGKV3D-20*02	IGKJ1*01	IGKV3-20*01	IGKV3-20	NA	IGKJ1	IGKC	298.3	NA	138.6	202.6	427	427,411,402	00-26427	Bx_1632	Snap_Frozen_Tissue	IGK
01-14774_tumorA	NA	NA	NA	NA	NA	NA	NA	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	01-14774	Bx_2633	FFPE	IGK
DLC_0353-A38261	Yes	MUTATED	11453	0.9833433502189404	0,2,3,4,6,7,14,15,158	11114	0.9542371426118312	IGKV1-5	IGKJ4	IGKC	IGKV1-5*03	IGKV1-5*03,IGKV1-5*04,IGKV1-5*05	IGKJ4*01,IGKJ4*02	IGKV1-5*03,IGKV1-5*04	IGKV1-5	NA	IGKJ4	IGKC	252.7	NA	103.8	208.4	352	352,352,349	01-17838	Bx_2855	Immunotube	IGK
01-20260T	NA	NA	NA	NA	NA	NA	NA	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	01-20260	Bx_3046	Immunotube	IGK
DLC_0380-A38280	NA	NA	NA	NA	NA	NA	NA	NULL	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	01-20774	Bx_3092	Immunotube	IGK
01-23942_tumorA	Yes	MUTATED	774	0.9416058394160584	0	774	0.9416058394160584	IGKV1D-8	IGKJ2	IGKC	IGKV1D-8*01	IGKV1D-8*01,IGKV1D-8*02,IGKV1D-8*03	IGKJ2*01	IGKV1D-8*01,IGKV1D-8*02,IGKV1D-8*03	IGKV1D-39	NA	IGKJ2	IGKC	341.1	NA	120.5	169.6	33.0	33.0,33.0,33.0	01-23942	Bx_3340	FFPE	IGK
DLC_0126-A38077	Yes	MUTATED	34186	0.9383251447863201	0,1,6,9,10,34,85,87,152,164,168,181,358,410,414,445,508,886,1057,1059,1072,1086,1118,1304,1311,1323,1330,1608	26008	0.7138583152636346	IGKV3-20	IGKJ2	IGKC	IGKV3-20*01	IGKV3-20*01,IGKV3D-20*01,IGKV3-7*02	IGKJ2*01	IGKV3-20*01	IGKV3D-20	NA	IGKJ2	IGKC	217.5	NA	114.4	211.5	185	185,182,163	01-26939	Bx_3527	Immunotube	IGK
01-28152_tumorA	Yes	MUTATED	658	0.9791666666666666	0	658	0.9791666666666666	IGKV2-28	IGKJ2	IGKC	IGKV2-28*01	IGKV2-28*01,IGKV2D-28*01,IGKV2-18*01	IGKJ2*01	IGKV2-28*01,IGKV2D-28*01	IGKV2-28	NA	IGKJ2	IGKC	412.6	NA	155.3	147.5	134	134,134,114	01-28152	Bx_3607	FFPE	IGK
